,neuron_id,mean_firing_rate,cv2_isi,cluster,waveform_width,peak_asymmetry,channel,is_single_unit,session_name,group_name,experiment_name
0,1.0,1.6979078615997676,0.467315498182718,slow_regular,16.0,0.06557377049180328,6,1,ESHOCK_03_LOC1,shock,ESHOCK
1,4.0,5.917719695712704,0.8247966666811435,slow_irregular,9.0,0.03734439834024896,17,1,ESHOCK_03_LOC1,shock,ESHOCK
2,5.0,5.005984527528272,0.3945747234090688,slow_regular,17.0,0.07053941908713693,20,1,ESHOCK_03_LOC1,shock,ESHOCK
3,6.0,2.3449380460783886,0.42882137108450546,slow_regular,21.0,0.08713692946058091,26,1,ESHOCK_03_LOC1,shock,ESHOCK
4,8.0,4.765318400616267,0.30520241192883263,slow_regular,70.0,0.3431372549019608,28,1,ESHOCK_03_LOC1,shock,ESHOCK
5,9.0,2.652945336353805,0.6086774865627632,slow_regular,36.0,0.14173228346456693,5,1,ESHOCK_04_LOC1,shock,ESHOCK
6,12.0,2.0700253147841945,0.8554942512264136,slow_irregular,35.0,0.13618677042801555,3,1,ESHOCK_04_LOC1,shock,ESHOCK
7,17.0,3.229160167939083,0.45915575652835744,slow_regular,75.0,0.3112033195020747,8,1,ESHOCK_04_LOC1,shock,ESHOCK
8,18.0,2.935690732910389,0.8078774906503422,slow_irregular,40.0,0.15503875968992248,1,1,ESHOCK_04_LOC1,shock,ESHOCK
9,22.0,4.225045261320389,0.9567270939328015,slow_irregular,41.0,0.1607843137254902,10,1,ESHOCK_04_LOC1,shock,ESHOCK
10,27.0,2.2088444521535,0.8919316703970667,slow_irregular,106.0,0.4690265486725664,4,1,ESHOCK_04_LOC1,shock,ESHOCK
11,31.0,4.889537979420805,0.5280093746544858,slow_regular,26.0,0.10655737704918032,22,1,ESHOCK_04_LOC1,shock,ESHOCK
12,32.0,3.5785659629384443,0.4271976080387948,slow_regular,26.0,0.10483870967741936,22,1,ESHOCK_04_LOC1,shock,ESHOCK
13,33.0,2.4808901746406113,0.4809707641999213,slow_regular,38.0,0.14960629921259844,14,1,ESHOCK_04_LOC1,shock,ESHOCK
14,34.0,2.518082947861694,0.6649292952293542,slow_regular,81.0,0.41968911917098445,5,1,ESHOCK_04_LOC1,shock,ESHOCK
15,35.0,1.6087792091470277,0.6570143768232636,slow_regular,59.0,0.2388663967611336,3,1,ESHOCK_04_LOC1,shock,ESHOCK
16,36.0,2.6336907551276667,0.8446828795859961,slow_irregular,52.0,0.19402985074626866,11,1,ESHOCK_04_LOC1,shock,ESHOCK
17,37.0,1.895496326549278,0.5224716373058054,slow_regular,46.0,0.17164179104477612,17,1,ESHOCK_04_LOC1,shock,ESHOCK
18,38.0,2.0994063857773058,0.44468029254637015,slow_regular,58.0,0.2230769230769231,2,1,ESHOCK_04_LOC1,shock,ESHOCK
19,39.0,2.706602240029389,0.2708395631366899,slow_regular,47.0,0.17343173431734318,8,1,ESHOCK_04_LOC1,shock,ESHOCK
20,40.0,2.884762159093417,0.5478989410437292,slow_regular,32.0,0.128,20,1,ESHOCK_04_LOC1,shock,ESHOCK
21,41.0,8.87675615123589,0.9766437361583549,fast_firing,49.0,0.18631178707224336,12,1,ESHOCK_04_LOC1,shock,ESHOCK
22,42.0,9.886475701645166,0.9760168090332823,fast_firing,35.0,0.1394422310756972,25,1,ESHOCK_04_LOC1,shock,ESHOCK
23,43.0,18.642437510954554,0.9744009644598337,fast_firing,48.0,0.1875,14,1,ESHOCK_04_LOC1,shock,ESHOCK
24,44.0,6.938818444650861,0.999387741281931,slow_irregular,55.0,0.21912350597609562,11,1,ESHOCK_04_LOC1,shock,ESHOCK
25,45.0,18.423434913950196,0.9431242265268375,fast_firing,97.0,0.4470046082949309,28,1,ESHOCK_04_LOC1,shock,ESHOCK
26,46.0,15.223072018367638,0.948378601373072,fast_firing,100.0,0.3937007874015748,4,1,ESHOCK_04_LOC1,shock,ESHOCK
27,47.0,0.8443500258143889,0.2997391956484533,slow_regular,109.0,0.48444444444444446,10,1,ESHOCK_04_LOC1,shock,ESHOCK
28,48.0,4.6359450210811834,0.38417091650189267,slow_regular,32.0,0.12403100775193798,4,1,ESHOCK_06_LOC1,sham,ESHOCK
29,49.0,9.729940841301943,0.7269233562473189,fast_firing,98.0,0.4537037037037037,8,1,ESHOCK_06_LOC1,sham,ESHOCK
30,50.0,6.501457259347822,0.526178993465634,slow_regular,40.0,0.14925373134328357,10,1,ESHOCK_06_LOC1,sham,ESHOCK
31,51.0,5.881651079526117,0.3460533173759352,slow_regular,55.0,0.21912350597609562,12,1,ESHOCK_06_LOC1,sham,ESHOCK
32,52.0,4.1428680984820705,0.2931659694572098,slow_regular,45.0,0.16605166051660517,14,1,ESHOCK_06_LOC1,sham,ESHOCK
33,54.0,2.7998875806592287,0.4481254139647288,slow_regular,42.0,0.15555555555555556,16,1,ESHOCK_06_LOC1,sham,ESHOCK
34,55.0,5.973764250609547,0.8926925747989619,slow_irregular,46.0,0.17037037037037037,14,1,ESHOCK_06_LOC1,sham,ESHOCK
35,57.0,9.441426248532418,0.36529708148772994,fast_firing,35.0,0.14893617021276595,21,1,ESHOCK_06_LOC1,sham,ESHOCK
36,58.0,5.68648800172101,0.4049661270652778,slow_regular,26.0,0.10483870967741936,26,1,ESHOCK_06_LOC1,sham,ESHOCK
37,59.0,1.9872213935101029,0.5653134531762665,slow_regular,40.0,0.14925373134328357,20,1,ESHOCK_06_LOC1,sham,ESHOCK
38,60.0,13.769791528980685,0.45664758985057957,fast_firing,26.0,0.10483870967741936,20,1,ESHOCK_06_LOC1,sham,ESHOCK
39,62.0,13.452829252133334,0.6789190094943922,fast_firing,85.0,0.4358974358974359,26,1,ESHOCK_06_LOC1,sham,ESHOCK
40,64.0,2.44769125123708,0.8029740105360712,slow_irregular,16.0,0.06557377049180328,26,1,ESHOCK_06_LOC1,sham,ESHOCK
41,69.0,4.8727715133458505,0.9426573172184264,slow_irregular,22.0,0.08870967741935484,29,1,ESHOCK_06_LOC1,sham,ESHOCK
42,70.0,6.060679895218373,0.4659648204430686,slow_regular,23.0,0.0931174089068826,32,1,ESHOCK_06_LOC1,sham,ESHOCK
43,73.0,3.4801074231407996,0.3958170165081533,slow_regular,34.0,0.12408759124087591,6,1,ESHOCK_06_LOC1,sham,ESHOCK
44,74.0,4.675256866610741,0.5357451685024264,slow_regular,60.0,0.26548672566371684,11,1,ESHOCK_06_LOC1,sham,ESHOCK
45,75.0,2.9221676076151537,0.47608945344031955,slow_regular,41.0,0.15471698113207547,24,1,ESHOCK_06_LOC1,sham,ESHOCK
46,76.0,3.009890961792118,0.9380814610799595,slow_irregular,27.0,0.1067193675889328,2,1,ESHOCK_06_LOC1,sham,ESHOCK
47,77.0,3.064819375255953,0.8314142542539963,slow_irregular,23.0,0.09236947791164658,26,1,ESHOCK_06_LOC1,sham,ESHOCK
48,78.0,8.423196240470388,0.8586579133491112,fast_firing,,,7,1,ESHOCK_07_LOC1,sham,ESHOCK
49,79.0,2.697808182346722,0.9180344139849288,slow_irregular,,,7,1,ESHOCK_07_LOC1,sham,ESHOCK
50,80.0,3.5260037133742497,0.824156595592134,slow_irregular,,,23,1,ESHOCK_07_LOC1,sham,ESHOCK
51,81.0,3.39992012979075,1.0759043158249377,slow_irregular,4.0,0.01639344262295082,16,1,ESHOCK_07_LOC1,sham,ESHOCK
